"subject" "activity" "variable" "mean.value."
1 "LAYING" "tBodyAcc-mean()-X" 0.22159824394
1 "LAYING" "tBodyAcc-mean()-Y" -0.0405139534294
1 "LAYING" "tBodyAcc-mean()-Z" -0.11320355358
1 "LAYING" "tGravityAcc-mean()-X" -0.24888179828
1 "LAYING" "tGravityAcc-mean()-Y" 0.70554977346
1 "LAYING" "tGravityAcc-mean()-Z" 0.4458177198
1 "LAYING" "tBodyAccJerk-mean()-X" 0.0810865342
1 "LAYING" "tBodyAccJerk-mean()-Y" 0.0038382040088
1 "LAYING" "tBodyAccJerk-mean()-Z" 0.010834236361
1 "LAYING" "tBodyGyro-mean()-X" -0.016553093978
1 "LAYING" "tBodyGyro-mean()-Y" -0.064486124088
1 "LAYING" "tBodyGyro-mean()-Z" 0.14868943626
1 "LAYING" "tBodyGyroJerk-mean()-X" -0.107270949192
1 "LAYING" "tBodyGyroJerk-mean()-Y" -0.04151728689
1 "LAYING" "tBodyGyroJerk-mean()-Z" -0.0740501211
1 "LAYING" "tBodyAccMag-mean()" -0.8419291525
1 "LAYING" "tGravityAccMag-mean()" -0.8419291525
1 "LAYING" "tBodyAccJerkMag-mean()" -0.9543962646
1 "LAYING" "tBodyGyroMag-mean()" -0.874759548
1 "LAYING" "tBodyGyroJerkMag-mean()" -0.96346103
1 "LAYING" "fBodyAcc-mean()-X" -0.9390990524
1 "LAYING" "fBodyAcc-mean()-Y" -0.86706520518
1 "LAYING" "fBodyAcc-mean()-Z" -0.8826668762
1 "LAYING" "fBodyAcc-meanFreq()-X" -0.158792670508
1 "LAYING" "fBodyAcc-meanFreq()-Y" 0.097534841586
1 "LAYING" "fBodyAcc-meanFreq()-Z" 0.08943765522
1 "LAYING" "fBodyAccJerk-mean()-X" -0.9570738838
1 "LAYING" "fBodyAccJerk-mean()-Y" -0.9224626098
1 "LAYING" "fBodyAccJerk-mean()-Z" -0.9480609042
1 "LAYING" "fBodyAccJerk-meanFreq()-X" 0.132419092398
1 "LAYING" "fBodyAccJerk-meanFreq()-Y" 0.024513618956
1 "LAYING" "fBodyAccJerk-meanFreq()-Z" 0.02438794528
1 "LAYING" "fBodyGyro-mean()-X" -0.850249174586
1 "LAYING" "fBodyGyro-mean()-Y" -0.9521914948
1 "LAYING" "fBodyGyro-mean()-Z" -0.909302721
1 "LAYING" "fBodyGyro-meanFreq()-X" -0.003546795856
1 "LAYING" "fBodyGyro-meanFreq()-Y" -0.091529130882
1 "LAYING" "fBodyGyro-meanFreq()-Z" 0.01045812566
1 "LAYING" "fBodyAccMag-mean()" -0.8617676481
1 "LAYING" "fBodyAccMag-meanFreq()" 0.08640856294
1 "LAYING" "fBodyBodyAccJerkMag-mean()" -0.9333003608
1 "LAYING" "fBodyBodyAccJerkMag-meanFreq()" 0.26639115416
1 "LAYING" "fBodyBodyGyroMag-mean()" -0.8621901854
1 "LAYING" "fBodyBodyGyroMag-meanFreq()" -0.1397750127
1 "LAYING" "fBodyBodyGyroJerkMag-mean()" -0.9423669466
1 "LAYING" "fBodyBodyGyroJerkMag-meanFreq()" 0.17648590708
1 "LAYING" "tBodyAcc-std()-X" -0.9280564692
1 "LAYING" "tBodyAcc-std()-Y" -0.83682740562
1 "LAYING" "tBodyAcc-std()-Z" -0.826061401628
1 "LAYING" "tGravityAcc-std()-X" -0.8968300184
1 "LAYING" "tGravityAcc-std()-Y" -0.90772000676
1 "LAYING" "tGravityAcc-std()-Z" -0.85236629022
1 "LAYING" "tBodyAccJerk-std()-X" -0.958482112
1 "LAYING" "tBodyAccJerk-std()-Y" -0.9241492736
1 "LAYING" "tBodyAccJerk-std()-Z" -0.9548551108
1 "LAYING" "tBodyGyro-std()-X" -0.87354386782
1 "LAYING" "tBodyGyro-std()-Y" -0.9510904402
1 "LAYING" "tBodyGyro-std()-Z" -0.9082846626
1 "LAYING" "tBodyGyroJerk-std()-X" -0.9186085208
1 "LAYING" "tBodyGyroJerk-std()-Y" -0.9679072436
1 "LAYING" "tBodyGyroJerk-std()-Z" -0.9577901596
1 "LAYING" "tBodyAccMag-std()" -0.79514486386
1 "LAYING" "tGravityAccMag-std()" -0.79514486386
1 "LAYING" "tBodyAccJerkMag-std()" -0.9282456284
1 "LAYING" "tBodyGyroMag-std()" -0.81901016976
1 "LAYING" "tBodyGyroJerkMag-std()" -0.9358409828
1 "LAYING" "fBodyAcc-std()-X" -0.9244374346
1 "LAYING" "fBodyAcc-std()-Y" -0.8336255561
1 "LAYING" "fBodyAcc-std()-Z" -0.81289155944
1 "LAYING" "fBodyAccJerk-std()-X" -0.9641607086
1 "LAYING" "fBodyAccJerk-std()-Y" -0.9322178704
1 "LAYING" "fBodyAccJerk-std()-Z" -0.9605869872
1 "LAYING" "fBodyGyro-std()-X" -0.8822964508
1 "LAYING" "fBodyGyro-std()-Y" -0.9512320494
1 "LAYING" "fBodyGyro-std()-Z" -0.9165825082
1 "LAYING" "fBodyAccMag-std()" -0.7983009404
1 "LAYING" "fBodyBodyAccJerkMag-std()" -0.9218039756
1 "LAYING" "fBodyBodyGyroMag-std()" -0.82431943968
1 "LAYING" "fBodyBodyGyroJerkMag-std()" -0.9326606676
1 "SITTING" "tBodyAcc-mean()-X" 0.261237565425532
1 "SITTING" "tBodyAcc-mean()-Y" -0.00130828765170213
1 "SITTING" "tBodyAcc-mean()-Z" -0.104544182255319
1 "SITTING" "tGravityAcc-mean()-X" 0.831509933404255
1 "SITTING" "tGravityAcc-mean()-Y" 0.204411592680851
1 "SITTING" "tGravityAcc-mean()-Z" 0.332043702765957
1 "SITTING" "tBodyAccJerk-mean()-X" 0.0774825199574468
1 "SITTING" "tBodyAccJerk-mean()-Y" -0.000619102785106384
1 "SITTING" "tBodyAccJerk-mean()-Z" -0.00336779235021277
1 "SITTING" "tBodyGyro-mean()-X" -0.045350056512766
1 "SITTING" "tBodyGyro-mean()-Y" -0.0919241549361702
1 "SITTING" "tBodyGyro-mean()-Z" 0.0629313811914894
1 "SITTING" "tBodyGyroJerk-mean()-X" -0.0936793807234043
1 "SITTING" "tBodyGyroJerk-mean()-Y" -0.0402118124255319
1 "SITTING" "tBodyGyroJerk-mean()-Z" -0.046702627
1 "SITTING" "tBodyAccMag-mean()" -0.948536786170213
1 "SITTING" "tGravityAccMag-mean()" -0.948536786170213
1 "SITTING" "tBodyAccJerkMag-mean()" -0.987364195531915
1 "SITTING" "tBodyGyroMag-mean()" -0.93089249
1 "SITTING" "tBodyGyroJerkMag-mean()" -0.991976341276596
1 "SITTING" "fBodyAcc-mean()-X" -0.979641238723404
1 "SITTING" "fBodyAcc-mean()-Y" -0.944084550425532
1 "SITTING" "fBodyAcc-mean()-Z" -0.959184889148936
1 "SITTING" "fBodyAcc-meanFreq()-X" -0.0495135975489362
1 "SITTING" "fBodyAcc-meanFreq()-Y" 0.0759460768510638
1 "SITTING" "fBodyAcc-meanFreq()-Z" 0.238829870148936
1 "SITTING" "fBodyAccJerk-mean()-X" -0.986597022553191
1 "SITTING" "fBodyAccJerk-mean()-Y" -0.981579467021277
1 "SITTING" "fBodyAccJerk-mean()-Z" -0.986053092340425
1 "SITTING" "fBodyAccJerk-meanFreq()-X" 0.256610823568085
1 "SITTING" "fBodyAccJerk-meanFreq()-Y" 0.0475437839595745
1 "SITTING" "fBodyAccJerk-meanFreq()-Z" 0.0923920032553192
1 "SITTING" "fBodyGyro-mean()-X" -0.976161464042553
1 "SITTING" "fBodyGyro-mean()-Y" -0.975838585319149
1 "SITTING" "fBodyGyro-mean()-Z" -0.951315544468085
1 "SITTING" "fBodyGyro-meanFreq()-X" 0.189153021260851
1 "SITTING" "fBodyGyro-meanFreq()-Y" 0.0631270669787234
1 "SITTING" "fBodyGyro-meanFreq()-Z" -0.0297839207446809
1 "SITTING" "fBodyAccMag-mean()" -0.947782922553192
1 "SITTING" "fBodyAccMag-meanFreq()" 0.236655011680851
1 "SITTING" "fBodyBodyAccJerkMag-mean()" -0.985262126808511
1 "SITTING" "fBodyBodyAccJerkMag-meanFreq()" 0.351852201957447
1 "SITTING" "fBodyBodyGyroMag-mean()" -0.958435589361702
1 "SITTING" "fBodyBodyGyroMag-meanFreq()" -0.000262186717021277
1 "SITTING" "fBodyBodyGyroJerkMag-mean()" -0.989797547234043
1 "SITTING" "fBodyBodyGyroJerkMag-meanFreq()" 0.184775928085106
1 "SITTING" "tBodyAcc-std()-X" -0.977229008297872
1 "SITTING" "tBodyAcc-std()-Y" -0.922618641914894
1 "SITTING" "tBodyAcc-std()-Z" -0.93958629106383
1 "SITTING" "tGravityAcc-std()-X" -0.968457145744681
1 "SITTING" "tGravityAcc-std()-Y" -0.935517055957447
1 "SITTING" "tGravityAcc-std()-Z" -0.949040933191489
1 "SITTING" "tBodyAccJerk-std()-X" -0.986430711276596
1 "SITTING" "tBodyAccJerk-std()-Y" -0.981371965319149
1 "SITTING" "tBodyAccJerk-std()-Z" -0.987910804468085
1 "SITTING" "tBodyGyro-std()-X" -0.977211283191489
1 "SITTING" "tBodyGyro-std()-Y" -0.966473895319149
1 "SITTING" "tBodyGyro-std()-Z" -0.941425920851064
1 "SITTING" "tBodyGyroJerk-std()-X" -0.99173159212766
1 "SITTING" "tBodyGyroJerk-std()-Y" -0.989518068510638
1 "SITTING" "tBodyGyroJerk-std()-Z" -0.987935806382979
1 "SITTING" "tBodyAccMag-std()" -0.927078418723404
1 "SITTING" "tGravityAccMag-std()" -0.927078418723404
1 "SITTING" "tBodyAccJerkMag-std()" -0.984120024042553
1 "SITTING" "tBodyGyroMag-std()" -0.934531840425532
1 "SITTING" "tBodyGyroJerkMag-std()" -0.988308728510638
1 "SITTING" "fBodyAcc-std()-X" -0.976412313191489
1 "SITTING" "fBodyAcc-std()-Y" -0.917275006382979
1 "SITTING" "fBodyAcc-std()-Z" -0.934469558085106
1 "SITTING" "fBodyAccJerk-std()-X" -0.987492994468085
1 "SITTING" "fBodyAccJerk-std()-Y" -0.982513909574468
1 "SITTING" "fBodyAccJerk-std()-Z" -0.988339184893617
1 "SITTING" "fBodyGyro-std()-X" -0.977904227021277
1 "SITTING" "fBodyGyro-std()-Y" -0.962345042553192
1 "SITTING" "fBodyGyro-std()-Z" -0.94391784106383
1 "SITTING" "fBodyAccMag-std()" -0.928444801702128
1 "SITTING" "fBodyBodyAccJerkMag-std()" -0.981606177446808
1 "SITTING" "fBodyBodyGyroMag-std()" -0.932198374893617
1 "SITTING" "fBodyBodyGyroJerkMag-std()" -0.987049617234043
1 "STANDING" "tBodyAcc-mean()-X" 0.2787317275
1 "STANDING" "tBodyAcc-mean()-Y" -0.0160576558557692
1 "STANDING" "tBodyAcc-mean()-Z" -0.110172907692308
1 "STANDING" "tGravityAcc-mean()-X" 0.942558843846154
1 "STANDING" "tGravityAcc-mean()-Y" -0.275525065961538
1 "STANDING" "tGravityAcc-mean()-Z" 0.0115312677519231
1 "STANDING" "tBodyAccJerk-mean()-X" 0.0753262755576923
1 "STANDING" "tBodyAccJerk-mean()-Y" 0.00803294107884615
1 "STANDING" "tBodyAccJerk-mean()-Z" -0.00245168111530769
1 "STANDING" "tBodyGyro-mean()-X" -0.0243317133728846
1 "STANDING" "tBodyGyro-mean()-Y" -0.0599363061730769
1 "STANDING" "tBodyGyro-mean()-Z" 0.0741675846730769
1 "STANDING" "tBodyGyroJerk-mean()-X" -0.0996177093076923
1 "STANDING" "tBodyGyroJerk-mean()-Y" -0.0438425073846154
1 "STANDING" "tBodyGyroJerk-mean()-Z" -0.0486998687807692
1 "STANDING" "tBodyAccMag-mean()" -0.984755982884615
1 "STANDING" "tGravityAccMag-mean()" -0.984755982884615
1 "STANDING" "tBodyAccJerkMag-mean()" -0.992349750769231
1 "STANDING" "tBodyGyroMag-mean()" -0.976638691153846
1 "STANDING" "tBodyGyroJerkMag-mean()" -0.994980616923077
1 "STANDING" "fBodyAcc-mean()-X" -0.995258908461539
1 "STANDING" "fBodyAcc-mean()-Y" -0.976957131346154
1 "STANDING" "fBodyAcc-mean()-Z" -0.986182261153846
1 "STANDING" "fBodyAcc-meanFreq()-X" 0.0833236784840385
1 "STANDING" "fBodyAcc-meanFreq()-Y" 0.117202856386538
1 "STANDING" "fBodyAcc-meanFreq()-Z" 0.250568371115385
1 "STANDING" "fBodyAccJerk-mean()-X" -0.994674996346154
1 "STANDING" "fBodyAccJerk-mean()-Y" -0.9853850275
1 "STANDING" "fBodyAccJerk-mean()-Z" -0.990772475192308
1 "STANDING" "fBodyAccJerk-meanFreq()-X" 0.303486756115385
1 "STANDING" "fBodyAccJerk-meanFreq()-Y" 0.0358631434846154
1 "STANDING" "fBodyAccJerk-meanFreq()-Z" 0.136175201609615
1 "STANDING" "fBodyGyro-mean()-X" -0.986383177692308
1 "STANDING" "fBodyGyro-mean()-Y" -0.989123358269231
1 "STANDING" "fBodyGyro-mean()-Z" -0.980605014038462
1 "STANDING" "fBodyGyro-meanFreq()-X" -0.117653484846154
1 "STANDING" "fBodyGyro-meanFreq()-Y" -0.0474627806403846
1 "STANDING" "fBodyGyro-meanFreq()-Z" 0.0920202617769231
1 "STANDING" "fBodyAccMag-mean()" -0.985994855384615
1 "STANDING" "fBodyAccMag-meanFreq()" 0.291728202519231
1 "STANDING" "fBodyBodyAccJerkMag-mean()" -0.992519724230769
1 "STANDING" "fBodyBodyAccJerkMag-meanFreq()" 0.423666863269231
1 "STANDING" "fBodyBodyGyroMag-mean()" -0.984703830576923
1 "STANDING" "fBodyBodyGyroMag-meanFreq()" -0.0266753277738462
1 "STANDING" "fBodyBodyGyroJerkMag-mean()" -0.994869702692308
1 "STANDING" "fBodyBodyGyroJerkMag-meanFreq()" 0.34236069125
1 "STANDING" "tBodyAcc-std()-X" -0.995769157307692
1 "STANDING" "tBodyAcc-std()-Y" -0.972999276538462
1 "STANDING" "tBodyAcc-std()-Z" -0.981049904423077
1 "STANDING" "tGravityAcc-std()-X" -0.993926702307692
1 "STANDING" "tGravityAcc-std()-Y" -0.981216679615385
